,snow depth,min temp,max temp
count,92.00,121.00,121.00
mean,16.01,13.68,32.10
std,10.09,14.70,16.77
min,0.00,-17.00,-6.00
25%,5.75,3.00,21.00
50%,17.00,13.00,31.00
75%,25.25,22.00,45.00
max,32.00,55.00,76.00
