,snow depth,min temp,max temp
count,444.00,478.00,473.00
mean,5.27,21.05,37.93
std,6.91,11.50,12.65
min,0.00,-17.00,0.00
25%,0.00,14.00,29.00
50%,2.00,21.00,38.00
75%,9.00,29.00,47.00
max,31.00,50.00,80.00
