,Dubois,Erie,Indiana,Laurel_Mountain,New_Castle,Pittsburgh,Uniontown,Warren
count,1927.0,2284.0,2232.0,2427.0,1493.0,1818.0,748.0,2938.0
mean,16.118837571354437,17.626094570928196,15.684139784946236,16.440461475072105,14.019423978566644,16.24092409240924,15.526737967914439,15.587474472430225
std,10.881161762717118,10.034427918653504,10.989998275772079,10.692358195321587,10.820322600057594,10.351459348713087,10.78302903555314,10.611793104735584
min,-26.0,-18.0,-24.0,-25.0,-27.0,-22.0,-22.0,-34.0
25%,9.0,11.0,9.0,10.0,7.0,9.0,8.0,9.0
50%,17.0,18.0,17.0,18.0,15.0,17.0,17.0,16.0
75%,24.0,25.0,24.0,24.0,22.0,24.0,23.0,24.0
max,47.0,47.0,44.0,50.0,39.0,45.0,39.0,66.0
