,Dubois,Erie,Indiana,Laurel_Mountain,New_Castle,Pittsburgh,Uniontown,Warren
count,463.0,443.0,465.0,224.0,142.0,333.0,255.0,652.0
mean,0.6142548596112309,1.2769751693002263,1.0316129032258063,1.1870535714285713,0.9633802816901409,0.824024024024024,1.0964705882352943,0.8384969325153375
std,1.5534390823347504,2.1942464598425073,2.1942544931861536,1.9975685392161415,1.6712198319492955,1.8723799427529435,2.2595090606142048,1.5328776423283166
min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50%,0.0,0.3,0.5,0.5,0.0,0.2,0.0,0.0
75%,0.6,1.5,1.0,1.5,1.5,0.9,1.0,1.0
max,16.3,14.3,21.0,12.0,12.0,23.6,20.0,14.0
