,temperature
January,13.895591453268349
February,15.226533866226168
March,17.602943702977168
April,21.102926372009886
May,24.105050546156797
June,25.688816776980257
July,26.91188256534198
August,26.96349231107655
September,24.91224237135679
October,21.296762348692596
November,17.97953513816556
December,14.645336009836377
