,temperature
January,24.3346862793
February,23.8092041016
March,23.6211853027
April,23.8252258301
May,24.3924255371
June,25.0580749512
July,26.1273193359
August,27.3415222168
September,27.8643188477
October,27.6602172852
November,26.7528686523
December,25.395904541
