,temperature
January,16.49026298521875
February,18.5911140441875
March,20.603099822981243
April,22.618446350093752
May,24.967571258550002
June,28.26226997375625
July,30.2456188201875
August,30.801103591925
September,29.463891983037502
October,25.48967361449375
November,20.6392326354875
December,17.2547321319625
