,temperature
January,27.7537841797
February,27.9555358887
March,28.0648498535
April,28.2799682617
May,27.9030761719
June,26.670135498
July,25.8078308105
August,25.7015686035
September,26.0257263184
October,26.7785644531
November,27.2592468262
December,27.5278930664
