,temperature
January,12.477704796425536
February,15.47059560922677
March,20.255123666610768
April,24.12615638146
May,28.403755540107692
June,32.77516197791232
July,35.13876108023078
August,34.73290029672614
September,31.091314697263076
October,24.895354285603084
November,17.881619497456924
December,13.53607835035954
