,temperature
January,27.6058959961
February,27.5531311035
March,27.8058776855
April,27.928314209
May,27.8852233887
June,27.8167419434
July,27.4711914062
August,27.1025085449
September,26.9265441895
October,26.868927002
November,27.1302185059
December,27.5756835938
