StationCode,StationName,Latitude,Longitude,Elevation
USC00364214,Indiana 3 SE,40.5972,-79.1186,335.9
USC00364836,Laurel Mountain,40.2004,-79.1882,841.2
USC00366233,New Castle 1 N,41.0172,-80.3615,251.5
USC00369050,Uniontown 1 NE,39.915,-79.7191,291.4
USC00369298,Warren,41.8467,-79.1494,368.8
USW00004787,Dubois Regional Airport,41.17947,-78.89326,550.2
USW00014860,Erie International Airport,42.0803,-80.1824,222.2
USW00094823,Pittsburgh International Airport,40.4846,-80.2144,366.7
