,temperature
January,-4.826462781340791
February,-4.009235676983024
March,-0.6309802276532938
April,4.454240527830887
May,11.204886952541306
June,16.835503100160114
July,19.511844549391892
August,18.681501050837078
September,13.556129969264395
October,7.1460276767787905
November,1.0475199787393483
December,-3.0754580604757353
