,temperature
January,23.074684143087502
February,22.113693237312503
March,22.3517456054625
April,23.1345787048375
May,24.4263343811
June,25.946483612062497
July,27.080089569075
August,27.909912109374996
September,28.1000633239625
October,27.225254058825
November,25.8379707336375
December,24.2746162414625
