,temperature
January,25.827833251955994
February,25.726528320312
March,25.557253417964002
April,24.657305908204
May,22.971168212888003
June,21.224201660155998
July,20.49212646484
August,21.047441406252002
September,22.027111816404
October,23.686643066408
November,24.943099365240005
December,25.348957519528
