,temperature
January,4.64929199219
February,4.51260375977
March,5.29373168945
April,7.53073120117
May,10.7044067383
June,14.3982849121
July,16.8858337402
August,17.8401794434
September,15.2797546387
October,10.4814147949
November,7.44589233398
December,5.02313232422
