,temperature
January,12.454106511284321
February,14.597078890416217
March,18.581611427105404
April,21.64516964474595
May,25.595049059072966
June,29.078012827281082
July,32.256610767267574
August,32.297529065921616
September,28.3279864337
October,23.647156586518918
November,17.93272111222162
December,13.684852393897296
