,temperature
January,27.02642144096667
February,27.129984537766667
March,27.38518948025556
April,27.227969699433334
May,26.185746934677784
June,24.813113742422225
July,25.758829752600004
August,30.618804931633335
September,31.337012396922223
October,31.146514892588886
November,30.5594007704
December,28.81615532768889
