,temperature
January,23.9413146973
February,23.1679382324
March,23.115020752
April,23.555847168
May,24.3949890137
June,25.2796630859
July,26.2199401855
August,27.0972290039
September,27.4783630371
October,27.0548095703
November,26.0910339355
December,24.9502868652
