,temperature
January,24.3728942871
February,24.1034240723
March,24.0596618652
April,24.2727966309
May,24.7489318848
June,25.4793701172
July,26.7700805664
August,27.9776611328
September,28.175201416
October,27.5937194824
November,26.6592407227
December,25.3600769043
