,temperature
January,25.020645141600003
February,24.826858520500004
March,26.06231689455
April,26.62859344485
May,26.640914917
June,26.66550445555
July,26.294044494625002
August,26.4964752197
September,27.055671691875
October,27.003593444825
November,26.3764038086
December,25.767288208
