,temperature
January,27.4637145996
February,27.6105041504
March,27.7636413574
April,27.8446350098
May,27.7247924805
June,27.5530700684
July,27.3591003418
August,27.1316833496
September,27.050567627
October,26.9682006836
November,27.0943908691
December,27.4613952637
