,temperature
January,22.084242502852078
February,22.259162902820833
March,21.86449305217083
April,21.112945556637502
May,20.916824340821254
June,21.41066487629688
July,22.85447057088021
August,24.57009124755625
September,25.480428059893757
October,24.762691497795828
November,23.45692634582292
December,22.519767761227087
