,temperature
January,3.697982788085
February,2.979522705075
March,3.37135314941
April,4.6635284423800005
May,7.07080078125
June,10.5847167969
July,12.89518737795
August,12.58992004395
September,10.23304748535
October,7.4990692138699995
November,5.495040893555
December,3.957260131835
