,temperature
January,25.1311950684
February,24.9404602051
March,25.7192687988
April,27.0132751465
May,27.9396362305
June,27.4763793945
July,27.0543212891
August,27.250213623
September,27.5280761719
October,27.424041748
November,26.9145812988
December,25.8863220215
