,temperature
January,-28.75184059143217
February,-29.419935309370494
March,-26.121709906538705
April,-20.396358572919244
May,-11.314779862113337
June,-3.253178637961326
July,-0.6865013785982633
August,-3.860616435177745
September,-11.793008223826437
October,-18.159034397291258
November,-23.343111618707354
December,-26.89520421235573
