,temperature
January,-0.245513916016
February,0.0160217285156
March,1.22387695312
April,4.14443969727
May,8.80572509766
June,12.4599609375
July,14.7691650391
August,14.412322998
September,11.5661621094
October,7.33480834961
November,3.96441650391
December,0.692718505859
