,temperature
January,19.205952037468183
February,20.723272150213635
March,23.902352072977273
April,26.74980718438637
May,30.137646761804543
June,32.27102938564091
July,31.538029063827274
August,31.061140580604537
September,30.39381547407273
October,26.788048484109087
November,23.2160769376
December,20.474580244581823
