,month,data
0,0,24.936697
1,1,25.24587
2,2,25.857798
3,3,26.369724
4,4,27.503668
5,5,28.420185
6,6,28.557796
7,7,28.555044
8,8,28.405506
9,9,27.984402
10,10,26.788992
11,11,25.869724
