,month,data
0,0,23.747364
1,1,23.318165
2,2,21.345388
3,3,17.832386
4,4,14.661255
5,5,11.821828
6,6,11.513647
7,7,12.601488
8,8,14.2456455
9,9,16.7278
10,10,19.546589
11,11,22.194757
