,month,data
0,0,3.739732
1,1,3.7683036
2,2,5.120536
3,3,7.151339
4,4,10.104017
5,5,12.710268
6,6,14.280803
7,7,14.064285
8,8,12.178125
9,9,9.358929
10,10,6.05
11,11,4.4410715
