,month,data
0,0,17.638433
1,1,18.883799
2,2,20.714146
3,3,22.417137
4,4,24.515425
5,5,26.74971
6,6,29.03057
7,7,29.114868
8,8,27.771042
9,9,25.257046
10,10,21.866241
11,11,17.97442
