,month,data
0,0,27.210638
1,1,27.324183
2,2,27.330433
3,3,27.335415
4,4,26.890476
5,5,26.480433
6,6,26.06979
7,7,26.062872
8,8,26.356918
9,9,26.563467
10,10,26.88765
11,11,27.071875
