,month,data
0,0,23.706423
1,1,23.744038
2,2,24.121101
3,3,24.737614
4,4,25.79358
5,5,26.309174
6,6,26.455044
7,7,26.791742
8,8,26.777063
9,9,26.399082
10,10,25.691742
11,11,24.590826
