,month,data
0,0,23.084404
1,1,23.379818
2,2,24.021101
3,3,24.838531
4,4,25.860092
5,5,27.024313
6,6,27.479816
7,7,27.697247
8,8,27.652752
9,9,26.966974
10,10,25.298166
11,11,23.951376
