,month,data
0,0,25.959635
1,1,26.210093
2,2,26.323853
3,3,26.433945
4,4,25.894495
5,5,25.166056
6,6,24.580734
7,7,24.759632
8,8,25.216513
9,9,25.838531
10,10,25.998165
11,11,25.988993
