,month,data
0,0,8.765529
1,1,10.275309
2,2,13.420061
3,3,17.993727
4,4,22.40884
5,5,25.443249
6,6,27.20805
7,7,27.493326
8,8,25.325214
9,9,21.410915
10,10,15.413183
11,11,10.434886
