,month,data
0,0,15.524118
1,1,17.182533
2,2,20.480373
3,3,24.516163
4,4,28.95466
5,5,31.503712
6,6,31.954975
7,7,32.125317
8,8,30.188889
9,9,25.942402
10,10,21.026196
11,11,16.918453
