,month,data
0,0,27.766056
1,1,27.72844
2,2,28.390827
3,3,28.333944
4,4,27.855045
5,5,26.053211
6,6,25.37156
7,7,25.672476
8,8,26.663303
9,9,27.912846
10,10,28.333027
11,11,27.93578
