,month,data
0,0,18.400917
1,1,20.626333
2,2,24.89707
3,3,27.452908
4,4,27.996243
5,5,28.001816
6,6,27.849506
7,7,27.900522
8,8,27.89447
9,9,26.683697
10,10,23.1761
11,11,19.479916
