,month,data
0,0,23.25483
1,1,23.443956
2,2,23.389551
3,3,22.870039
4,4,21.995354
5,5,20.637785
6,6,20.281836
7,7,21.205212
8,8,22.461218
9,9,23.613304
10,10,23.753254
11,11,23.410606
