,month,data
0,0,23.343704
1,1,25.150795
2,2,27.242218
3,3,28.698391
4,4,28.209482
5,5,27.467484
6,6,27.009995
7,7,26.854847
8,8,26.70174
9,9,26.162918
10,10,24.733213
11,11,23.124678
