STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,SNOW,SNWD,TMAX,TMIN
USC00364214,"INDIANA 3 SE, PA US",40.5972,-79.1186,335.9,3/1/1970,0,0,53,16
USC00364214,"INDIANA 3 SE, PA US",40.5972,-79.1186,335.9,3/2/1970,0,0,50,35
USC00364214,"INDIANA 3 SE, PA US",40.5972,-79.1186,335.9,3/3/1970,0,0,44,35
USC00364214,"INDIANA 3 SE, PA US",40.5972,-79.1186,335.9,3/4/1970,0,0,43,37
USC00364214,"INDIANA 3 SE, PA US",40.5972,-79.1186,335.9,3/5/1970,0,0,47,35
USC00364214,"INDIANA 3 SE, PA US",40.5972,-79.1186,335.9,3/6/1970,0,0,44,25
USC00364214,"INDIANA 3 SE, PA US",40.5972,-79.1186,335.9,3/7/1970,0,0,41,24
USC00364214,"INDIANA 3 SE, PA US",40.5972,-79.1186,335.9,3/8/1970,0,0,41,22
USC00364214,"INDIANA 3 SE, PA US",40.5972,-79.1186,335.9,3/9/1970,0,0,40,23
USC00364214,"INDIANA 3 SE, PA US",40.5972,-79.1186,335.9,3/10/1970,0,0,39,15
USC00364214,"INDIANA 3 SE, PA US",40.5972,-79.1186,335.9,3/11/1970,0,0,43,19
USC00364214,"INDIANA 3 SE, PA US",40.5972,-79.1186,335.9,3/12/1970,0,0,31,25
USC00364214,"INDIANA 3 SE, PA US",40.5972,-79.1186,335.9,3/13/1970,5,3,36,27
USC00364214,"INDIANA 3 SE, PA US",40.5972,-79.1186,335.9,3/14/1970,0,2,31,19
USC00364214,"INDIANA 3 SE, PA US",40.5972,-79.1186,335.9,3/15/1970,0.5,2,30,19
USC00364214,"INDIANA 3 SE, PA US",40.5972,-79.1186,335.9,3/16/1970,0.2,2,29,15
USC00364214,"INDIANA 3 SE, PA US",40.5972,-79.1186,335.9,3/17/1970,0.1,2,40,12
USC00364214,"INDIANA 3 SE, PA US",40.5972,-79.1186,335.9,3/18/1970,1.8,2,40,32
USC00364214,"INDIANA 3 SE, PA US",40.5972,-79.1186,335.9,3/19/1970,0,0,40,34
USC00364214,"INDIANA 3 SE, PA US",40.5972,-79.1186,335.9,3/20/1970,0,0,42,30
USC00364214,"INDIANA 3 SE, PA US",40.5972,-79.1186,335.9,3/21/1970,0,0,43,33
USC00364214,"INDIANA 3 SE, PA US",40.5972,-79.1186,335.9,3/22/1970,0.2,0,37,30
USC00364214,"INDIANA 3 SE, PA US",40.5972,-79.1186,335.9,3/23/1970,2.8,0,38,32
USC00364214,"INDIANA 3 SE, PA US",40.5972,-79.1186,335.9,3/24/1970,0.3,0,39,33
USC00364214,"INDIANA 3 SE, PA US",40.5972,-79.1186,335.9,3/25/1970,0.1,0,48,27
USC00364214,"INDIANA 3 SE, PA US",40.5972,-79.1186,335.9,3/26/1970,0,0,57,30
USC00364214,"INDIANA 3 SE, PA US",40.5972,-79.1186,335.9,3/27/1970,0,0,45,30
USC00364214,"INDIANA 3 SE, PA US",40.5972,-79.1186,335.9,3/28/1970,0,0,57,25
USC00364214,"INDIANA 3 SE, PA US",40.5972,-79.1186,335.9,3/29/1970,1.8,2,43,24
USC00364214,"INDIANA 3 SE, PA US",40.5972,-79.1186,335.9,3/30/1970,8.7,5,45,9
USC00364214,"INDIANA 3 SE, PA US",40.5972,-79.1186,335.9,3/31/1970,0.5,1,53,33
USC00364214,"INDIANA 3 SE, PA US",40.5972,-79.1186,335.9,4/1/1970,0,0,54,27
USC00364214,"INDIANA 3 SE, PA US",40.5972,-79.1186,335.9,4/2/1970,0,0,61,32
USC00364214,"INDIANA 3 SE, PA US",40.5972,-79.1186,335.9,4/3/1970,1,0,49,20
