ObDate,Snowfall,Snowdepth,TempMax,TempMin
1972-12-17 00:00:00.0000000,0.29999999999999999,1,17,12
1972-12-18 00:00:00.0000000,0,1,26,13
1973-01-15 00:00:00.0000000,1,1,43,27
1973-01-16 00:00:00.0000000,0,1,38,32
1973-01-29 00:00:00.0000000,1,1,45,20
1973-01-30 00:00:00.0000000,0,1,27,6
1973-01-31 00:00:00.0000000,0,1,27,6
1973-02-09 00:00:00.0000000,0.69999999999999996,1,39,10
1973-02-10 00:00:00.0000000,0,1,27,8
1973-02-11 00:00:00.0000000,0,1,25,8
1973-02-16 00:00:00.0000000,0.5,1,41,14
1973-02-17 00:00:00.0000000,0.10000000000000001,1,18,-3
1973-02-22 00:00:00.0000000,0.5,1,40,18
1973-02-23 00:00:00.0000000,0.5,1,28,18
1973-03-18 00:00:00.0000000,1.5,2,54,25
1973-03-19 00:00:00.0000000,0.5,1,33,27
1973-04-11 00:00:00.0000000,0.5,1,38,28
1973-12-09 00:00:00.0000000,0.5,1,40,19
1973-12-10 00:00:00.0000000,1,1,36,30
1973-12-11 00:00:00.0000000,0,1,35,18
1973-12-12 00:00:00.0000000,0,1,26,14
1973-12-21 00:00:00.0000000,2.7000000000000002,3,51,26
1973-12-22 00:00:00.0000000,2,4,27,14
1973-12-23 00:00:00.0000000,0,3,33,19
1973-12-24 00:00:00.0000000,0,1,38,27
1974-01-09 00:00:00.0000000,1,1,38,9
1974-02-05 00:00:00.0000000,0.29999999999999999,1,28,6
1974-02-11 00:00:00.0000000,1.8,2,32,18
1974-02-12 00:00:00.0000000,0,1,33,19
1974-12-02 00:00:00.0000000,1,1,40,33
1974-12-03 00:00:00.0000000,1.2,1,36,32
1974-12-04 00:00:00.0000000,0,1,35,26
1974-12-19 00:00:00.0000000,2,2,30,25
1975-01-13 00:00:00.0000000,6.5,5,37,25
1975-01-14 00:00:00.0000000,0,4,28,10
1975-01-15 00:00:00.0000000,0,3,20,2
1975-01-16 00:00:00.0000000,0,3,29,4
1975-01-18 00:00:00.0000000,0.5,3,36,7
1975-01-19 00:00:00.0000000,1.5,1,44,31
1975-01-20 00:00:00.0000000,2.2000000000000002,3,40,18
1975-01-21 00:00:00.0000000,0,2,29,8
1975-01-22 00:00:00.0000000,0,2,39,18
1975-01-23 00:00:00.0000000,0,1,38,18
1975-01-24 00:00:00.0000000,0,1,42,19
1975-01-31 00:00:00.0000000,2.2999999999999998,2,37,32
1975-02-01 00:00:00.0000000,0.5,1,38,32
1975-02-02 00:00:00.0000000,1.2,2,35,30
1975-02-03 00:00:00.0000000,0,1,37,19
1975-02-04 00:00:00.0000000,0,1,36,19
1975-02-05 00:00:00.0000000,2.2000000000000002,1,35,23
1975-02-07 00:00:00.0000000,0.69999999999999996,1,38,21
