,Butler,Clarion,Confluence,Dubois,Erie,Franklin,Indiana,Laurel_Mountain,New_Castle,Pittsburgh,Tionesta,Uniontown,Warren,Waynesburg,All Stations Average
count,2125.0,2381.0,2777.0,1927.0,2284.0,2516.0,2232.0,2427.0,1493.0,1818.0,2963.0,748.0,2938.0,1373.0,2143.0
mean,13.590588235294117,14.406551868962621,14.507382066978755,16.118837571354437,17.626094570928196,14.624801271860095,15.684139784946236,16.440461475072105,14.019423978566644,16.24092409240924,13.819439757003037,15.526737967914439,15.587474472430225,13.093226511289147,15.091863116072092
std,11.256005130150488,11.404010384653986,10.783167095228078,10.881161762717118,10.034427918653504,10.44972461327543,10.989998275772079,10.692358195321587,10.820322600057594,10.351459348713087,11.800708390797801,10.78302903555314,10.611793104735584,11.543556347740727,10.885837300240729
min,-20.0,-23.0,-30.0,-26.0,-18.0,-22.0,-24.0,-25.0,-27.0,-22.0,-23.0,-22.0,-34.0,-25.0,-24.357142857142858
25%,6.0,7.0,8.0,9.0,11.0,8.0,9.0,10.0,7.0,9.0,6.0,8.0,9.0,5.0,8.0
50%,14.0,15.0,16.0,17.0,18.0,15.0,17.0,18.0,15.0,17.0,15.0,17.0,16.0,14.0,16.0
75%,22.0,23.0,23.0,24.0,25.0,23.0,24.0,24.0,22.0,24.0,23.0,23.0,24.0,22.0,23.3
max,66.0,52.0,41.0,47.0,47.0,39.0,44.0,50.0,39.0,45.0,41.0,39.0,66.0,47.0,47.4
