,Butler,Clarion,Confluence,Dubois,Erie,Franklin,Indiana,Laurel_Mountain,New_Castle,Pittsburgh,Tionesta,Uniontown,Warren,Waynesburg,All Stations Average
count,1909.0,2257.0,2765.0,1929.0,2284.0,2420.0,2249.0,2412.0,1447.0,1818.0,3010.0,737.0,2939.0,1371.0,2110.5
mean,0.741749607124148,0.6184758529020813,0.9425678119349007,0.6124416796267497,1.1497810858143596,0.8938842975206615,0.9427301022676744,1.0816334991708114,0.7126468555632334,0.6732673267326735,0.7434551495016609,1.0099050203527815,0.9058183055461039,0.8648431801604658,0.849514269587022
std,1.292978651260913,1.2348765186735853,1.7397456199659729,1.3515784148383407,2.0417767603891996,1.5135667977536538,1.6711871189793102,1.9214927881866242,1.3240718878285176,1.3524800986390755,1.3624426369569225,1.8115487358854878,1.4888135758059735,1.5891799844054326,1.5496956849692152
min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50%,0.1,0.0,0.0,0.0,0.3,0.0,0.4,0.0,0.0,0.1,0.0,0.5,0.3,0.2999999999999999,0.1
75%,1.0,0.9,1.0,0.7,1.4,1.0,1.0,1.5,1.0,0.8,1.0,1.0,1.0,1.1,1.0
max,17.1,11.0,24.0,16.3,17.4,16.0,21.0,24.0,12.0,23.6,14.5,20.0,14.0,18.8,17.8
