,scenario,gcm,variable,monthVals,fromYear,toYear
0,a2,bccr_bcm2_0,tas,"[-10.99204496, -10.12681654, -8.528082871, -3.63959038, 0.699782953, 4.575301008, 8.837383735, 8.448441668, 5.363921375, 0.815684249, -4.516317228, -9.700123485]",2020,2039
1,b1,bccr_bcm2_0,tas,"[-11.47775827, -10.87517566, -8.148567758, -3.308602682, 0.64562244, 4.471673733, 8.735469167, 8.817594947, 5.740074344, 0.915769251, -4.307297869, -8.877040212]",2020,2039
