,scenario,gcm,variable,monthVals,fromYear,toYear
0,a2,bccr_bcm2_0,tas,"[-1.967732747, -2.810272217, -2.970446269, -1.887331645, 0.192021688, 2.667470296, 5.62071991, 6.249486287, 4.592234294, 1.940282186, 0.399083455, -1.131652832]",2020,2039
1,b1,bccr_bcm2_0,tas,"[-1.49222819, -1.72890981, -1.79372406, -0.976275126, 1.01718394, 3.429379781, 6.210418701, 6.929389954, 5.471748352, 2.507474264, 0.081021627, -1.359367371]",2020,2039
