,scenario,gcm,variable,monthVals,fromYear,toYear
0,a2,bccr_bcm2_0,tas,"[-8.894878359, -7.698756648, -3.246185531, 3.582127445, 9.949729938, 15.5840881, 19.13184012, 18.51391038, 13.97667034, 7.456817931, -0.326399691, -6.192306899]",2020,2039
1,b1,bccr_bcm2_0,tas,"[-8.831965839, -6.985148936, -3.053252946, 3.143319223, 9.538005496, 15.43812976, 19.03349582, 18.34966478, 14.09817794, 7.477803371, -0.055426695, -6.230178529]",2020,2039
