,scenario,gcm,variable,monthVals,fromYear,toYear
0,a2,bccr_bcm2_0,tas,"[20.42584463, 20.17056392, 18.03476422, 14.20716887, 9.90070255, 6.985090402, 6.561860891, 7.949311476, 10.38403878, 13.12085988, 16.5880347, 19.28008212]",2020,2039
1,b1,bccr_bcm2_0,tas,"[20.43140294, 20.14270548, 17.74953373, 14.40987191, 10.06262999, 6.790360377, 6.189325186, 7.910697057, 10.43482883, 13.3797044, 16.69389285, 19.26274784]",2020,2039
