,scenario,gcm,variable,monthVals,fromYear,toYear
0,a2,bccr_bcm2_0,tas,"[24.51182637, 24.86638675, 24.65924869, 23.86680657, 22.10940484, 20.06869655, 20.17230063, 22.78129483, 25.32360678, 25.60041201, 25.17554251, 24.27750403]",2020,2039
1,b1,bccr_bcm2_0,tas,"[24.32125746, 24.64334971, 24.64427509, 23.81084408, 21.91824219, 20.15334556, 19.96420167, 22.58632032, 25.22414945, 25.63232516, 25.05266456, 24.51622536]",2020,2039
