,scenario,gcm,variable,monthVals,fromYear,toYear
0,a2,bccr_bcm2_0,tas,"[-1.234741211, -1.441766912, 0.371720748, 4.959677956, 11.6976901, 16.47062267, 19.19470492, 17.63161677, 12.41574929, 7.740764271, 2.770493941, 0.686462402]",2020,2039
1,b1,bccr_bcm2_0,tas,"[-1.601565274, -1.244135076, 0.145296964, 4.674427379, 10.96637795, 16.98510465, 19.32465987, 18.25835072, 12.80474299, 8.367470481, 2.297133012, 0.644073486]",2020,2039
