,scenario,gcm,variable,monthVals,fromYear,toYear
0,a2,bccr_bcm2_0,tas,"[23.28178544, 22.88329801, 23.27981013, 24.31793213, 25.34112826, 26.09421886, 26.70608798, 27.32382202, 27.35582386, 26.68953913, 25.23040494, 24.00877797]",2020,2039
1,b1,bccr_bcm2_0,tas,"[23.34512607, 23.18450928, 23.38710716, 24.28562511, 25.40842507, 26.16749989, 26.80500932, 27.46174483, 27.34829434, 26.63591974, 25.26500355, 24.04862005]",2020,2039
