,scenario,gcm,variable,monthVals,fromYear,toYear
0,a2,bccr_bcm2_0,tas,"[24.2406311, 23.69296265, 23.59381866, 24.11878967, 24.85004425, 25.41848755, 26.10597229, 26.80960846, 26.91306305, 26.55046082, 25.90423584, 24.98574829]",2020,2039
1,b1,bccr_bcm2_0,tas,"[24.08693695, 23.57377625, 23.57807922, 24.03269196, 24.8530426, 25.48867035, 26.24276733, 26.90775299, 26.8844986, 26.49581146, 25.75262451, 24.90854645]",2020,2039
