,scenario,gcm,variable,monthVals,fromYear,toYear
0,a2,bccr_bcm2_0,tas,"[-2.767196655, -0.548585002, 4.159680176, 10.80602519, 16.37875468, 21.38659159, 23.97285868, 22.53887329, 17.72966309, 11.32248433, 4.798174032, -0.630865987]",2020,2039
1,b1,bccr_bcm2_0,tas,"[-2.935413615, -0.355584717, 3.73423055, 10.61583252, 16.29979858, 21.13093465, 24.28395081, 22.8040507, 18.46283468, 11.15013123, 4.614171346, -1.764796448]",2020,2039
