,scenario,gcm,variable,monthVals,fromYear,toYear
0,a2,bccr_bcm2_0,tas,"[-0.215240479, -0.403121948, 1.06063385, 5.195825195, 10.99071045, 15.33194427, 17.94221039, 16.88145447, 12.68447571, 8.057479858, 3.63943634, 1.598355103]",2020,2039
1,b1,bccr_bcm2_0,tas,"[-0.58838501, -0.374824524, 0.919180298, 5.024931335, 10.62884064, 15.84082489, 18.17092896, 17.38576508, 13.13080902, 8.503390503, 3.259594727, 1.421583557]",2020,2039
