,scenario,gcm,variable,monthVals,fromYear,toYear
0,a2,bccr_bcm2_0,tas,"[14.93128805, 16.59336867, 19.87715892, 23.88832565, 26.21811966, 26.56991928, 24.84983245, 24.4464881, 24.06247812, 22.12688777, 18.68086121, 15.88748615]",2020,2039
1,b1,bccr_bcm2_0,tas,"[14.73107059, 16.34710788, 19.53272713, 23.66532965, 26.09868115, 26.59550598, 24.60311539, 24.31819058, 23.94102384, 21.96613845, 18.69121734, 15.84501324]",2020,2039
