,scenario,gcm,variable,monthVals,fromYear,toYear
0,a2,bccr_bcm2_0,tas,"[19.71109772, 20.02505493, 22.17681885, 24.40111542, 24.45877075, 23.4081955, 23.51275635, 23.95339966, 24.00286102, 23.14019775, 21.53482819, 20.11917114]",2020,2039
1,b1,bccr_bcm2_0,tas,"[19.61695099, 20.45503998, 22.54046631, 24.34453583, 24.67087555, 23.43206787, 23.65820313, 24.23422241, 24.07723999, 23.26338959, 21.74810028, 20.3276062]",2020,2039
