,January,February,March,April,May,June,July,August,September,October,November,December,Year
BRN,24.98931884765,25.005172729475,25.905784606925,26.661979675275,26.7826309204,26.72608184815,26.3890914917,26.575904846200004,27.156784057625,26.889236450175,26.5645828247,25.835540771475003,26.2901757558125
BTN,4.449406941738334,7.117772420252166,12.206171671547333,17.392450968418334,19.293904622383334,19.193476359033333,19.2515411377,18.451761881516664,15.995590209963334,12.375493367516668,7.784708658846167,4.272206624351665,13.148707071938944
BWA,22.768330891929168,22.74261601765416,22.129470825187497,21.369262695308333,18.56416575113333,16.095989227291668,16.483556111645836,19.60900497435833,23.572631835933336,26.432219187424995,25.090232849116664,23.371995290120832,21.519122971425347
CAF,25.321725698615385,26.858977097730776,27.254934457623072,25.708361112157693,24.190241887023078,23.628682063184627,24.655031644380763,24.542799729565385,23.830663827746157,23.18086007924615,22.743831927961537,23.858222374546152,24.647860991648397
CAN,-19.714624973986588,-19.812995935659146,-17.161242850884413,-8.650485554678282,1.728840011846466,9.835123230980471,11.481977819223763,8.778118146051318,3.5434936523438685,-2.552155091332278,-10.538080909603892,-16.223122493556858,-4.94042957910463
CCK,26.4324951172,27.1012573242,27.6895446777,27.8645629883,27.0809020996,26.2475280762,25.6429748535,25.2715454102,25.1675415039,25.3371887207,25.6018981934,25.9575805664,26.282918294274996
CHE,0.8113810221363335,0.2792002360029667,2.036855061848333,5.568491617838333,8.911570231121667,13.558883666983334,15.970108032233332,15.168009440116668,12.284754435233332,7.337463378904999,4.565317789711666,2.6016489664683333,7.424473656549942
CHL,15.296330043246604,15.56731142316482,14.087883540564826,11.004107339041964,8.444602421349286,6.588299342566004,5.747862679614802,6.10794884817711,7.639307294574286,9.319822038920178,11.529046739850893,13.745726994109283,10.423187392098336
CHN,-8.890638351439495,-6.143832959627039,-0.5054913571006898,6.119387676841774,12.397343384591377,17.023729826275492,19.096328434189896,16.97164876837674,12.146141654561788,5.66892734326906,-1.6911103599958617,-7.691759059303829,5.375056250053267
CIV,26.3275604248,27.74687848772143,28.18110220773572,27.46783447265,26.351475306914285,25.426515851707144,25.01154654365714,24.367765154157144,24.50430951800714,24.74575369698572,24.90214102608571,25.69193376814286,25.89373470488036
CMR,24.27380625406666,25.916383107495832,26.613117218020843,25.7691485087125,24.827833811441668,24.13836669921667,24.471809387212502,24.22914250691667,24.01685969034583,23.86827087401249,23.471682230637494,23.534331003820835,24.594229274325
COD,22.544533089415072,23.641166791523297,23.84472614444657,23.428006942958906,23.05547886678768,23.133492247702748,24.45240219324383,24.97410897032604,24.647345555973985,23.799102365153423,22.465354605891783,21.61986844833426,23.46713218514647
COG,24.072982788087497,25.215082168587497,25.22606277465625,24.649038314825,24.114316940312506,23.988378524787503,25.065645217887496,25.109125137325,24.329877853400003,23.89180946350625,23.356969833375,22.882476806625,24.325147151947917
COK,26.59017944336,27.52893676758,27.688214111339995,27.02229003908,25.67067260742,24.0628112793,23.0718322754,22.78640136718,23.190173339840005,23.568829345700003,24.30388793948,25.6203552246,25.092048645023336
COL,26.448325347900003,26.9105842590375,26.742737579347494,26.1229949951175,25.0726020812975,24.220008850105,25.499685668942504,27.671549224857493,28.1054466247575,27.557022857662503,26.7749824523875,26.16959762573001,26.441294797261875
COM,27.7098999023,27.8428649902,28.1712036133,28.273651123,27.2769775391,26.0006103516,24.9347229004,24.4085388184,24.5044250488,25.1220397949,26.218170166,27.327545166,26.48255411783333
CPV,21.771224975566668,21.829243977866668,22.28924051918333,22.6153869629,22.857238769516663,23.849227905266662,25.714492797850003,26.885625203466663,27.21034240723333,26.792744954416666,25.221399943033333,23.172485351583337,24.18405448065695
CRI,26.55831037247143,26.6826259068,26.85663277762857,27.30585588727143,27.610469273157147,27.234684535442856,27.438245500828568,28.235844203400003,28.32486833842857,27.95671735492857,27.193407331200003,26.712916782942862,27.34254818870833
CUB,23.56037764116364,22.895652077418184,23.66287508878182,25.155900435009087,26.92678833008182,28.14656205610909,29.27464710582728,29.61859685723637,29.14334106443636,27.590193314972733,25.95567460493637,24.64763849432727,26.381520589191666
CXR,27.6262512207,27.7301940918,27.7804870605,28.0634460449,27.7831420898,27.3208618164,26.4716491699,25.6399841309,25.6846618652,26.434753418,27.1319885254,27.4740905762,27.09512583414167
CYM,25.0548706055,24.1849365234,24.4957275391,25.4853515625,26.934753418,27.9816589355,29.0276184082,29.548248291,29.3010559082,28.4204406738,27.209564209,26.1797790527,26.985333760575
CYP,10.4535827636775,10.440101623555,12.34467315674,14.602142333975,18.6760559082,22.679130554225,27.267547607425,27.768013000475,24.2146606445,19.403144836425,14.399589538575,12.1026077270425,17.86260414123458
CZE,-0.5332845052081889,-1.5820753309465556,1.2121039496533337,5.459136962890001,9.77201334636,14.769758436422222,17.0982699924,15.370988633899998,11.7691107856,6.870680067276667,3.738884819878889,1.288380940755,7.102830674915115
DEU,0.7462493896480151,-0.3148178100583499,1.8335311889643,5.6039138793945,9.3862655639675,14.493414306640002,16.580461120604998,15.00142517091,12.10966949463,7.731692504883,4.753565979004501,2.44188079833865,7.530604298910593
DJI,22.8208211263,24.513488769533332,27.70774332683333,30.359354654933338,32.231638590500005,33.05708821613333,31.752248128233333,31.278299967433338,32.60106404623333,29.27706909183333,25.537648518866664,23.3751525879,28.709301418727776
DMA,24.216003418,23.7112426758,23.6420898438,23.9472045898,24.5191040039,25.1535339355,26.3152770996,27.5747070312,28.0469970703,27.7936706543,26.8644104004,25.4253845215,25.600802103674997
DNK,0.6525624593086666,-1.4372075398765,0.5232696533191666,4.051872253418334,8.170046488444166,13.826337178558331,16.201787312833332,14.540051778158336,11.549359639489998,7.7695083618175005,4.675875345866333,2.107152303059667,6.885884602866444
DOM,24.851119995116665,24.526570638,24.569753011066663,24.924794514983333,25.69940185546667,26.381174723283337,27.38704427081667,28.245798746716662,28.44293212888333,27.750106811516662,26.692448933916666,25.58388264975,26.254585689959722
DZA,10.82795385412392,13.217987472946485,16.397114109350003,19.990059105131085,24.58493371911892,28.53084749788244,31.81712135108513,31.268100223024327,27.02146746661486,20.563839061843247,14.99391462996487,11.574336696310269,20.898972932282962
ECU,24.06172892252,24.502933756520004,24.39042561849333,24.328369140626663,23.569950358066663,23.75725097656667,23.7013671875,22.93883666992,22.91196695964,23.170086669906663,23.503053792306662,23.755238850906665,23.715934075247777
EGY,12.560027251377027,14.496730495137836,18.404032114378374,21.47274780273513,25.896181673610812,29.17458859005405,32.048235919024314,32.02643069705407,28.47116171346756,23.069208093594597,16.670809359164867,13.515679436762165,22.31715276219673
ERI,22.38076782225833,24.34532419840833,27.055414835625,29.269119262683333,30.905484517408336,32.04682668049167,32.183430989583336,31.619636535633333,31.59187316894166,28.81722513835834,25.585899353008333,23.07232920328333,28.23944430880695
ESH,16.49026298521875,18.5911140441875,20.603099822981243,22.618446350093752,24.96757125855,28.26226997375625,30.2456188201875,30.801103591925,29.463891983037502,25.48967361449375,20.6392326354875,17.2547321319625,23.78558476765677
ESP,10.468050870030908,10.473826090492729,10.984941887128183,12.749884403113333,15.27122081410606,19.457715583566664,22.580267703893934,23.068853204903032,20.910724061909093,17.10053415008788,13.727246833564848,11.805543841742123,15.716567453711562
EST,-4.84327697754,-8.39034652710875,-4.50682449340875,2.47579574584875,7.919982910153749,13.509799957275,17.1332130432125,14.5926589965875,9.466682434077502,4.22266769409125,0.3910522460928751,-3.690811157226951,4.0233828226712225
ETH,22.45675824138649,24.319949588259465,26.091509844808108,26.627809266778375,25.32081727723244,24.314679944840535,23.530828527508103,23.776458740232435,24.666405755118923,23.321131525821613,21.50768218169189,21.3172665157919,23.937608117455856
FIN,-9.321966171265938,-12.279979705809374,-9.232498168951874,-1.846497535706156,4.9971189498897495,11.075915336603437,12.979630470274689,10.370513916015938,5.532649040222188,0.0476608276362496,-4.523740768433313,-8.121047973635969,-0.026853481930031082
FJI,27.79457855225,28.3762512207,28.347633361825,27.65479278565,26.080207824725,24.89780426025,24.03342437745,23.797676086425003,24.222778320325,24.950973510750003,25.8698120117,26.871459960925,26.074782689414587
FLK,12.4208374023,13.0350189209,11.7185821533,9.021118164065,6.872421264650001,5.09718322754,3.964126586915,4.11045837402,5.069519042965,6.315536499025001,8.21376037598,10.80690002445,8.053788503009168
FRA,5.193794019293848,4.689232103751939,5.791637073864242,8.59817227450212,11.586558948865152,16.219674775087878,19.1777454723,19.035248727509096,16.20426709725152,11.541482636421213,8.496156634704848,6.728425921812728,11.105199640447047
FRO,3.47752380371,2.616088867185,2.86441040039,4.527557373045,6.99417114258,10.27217102055,12.5574188232,12.02139282225,10.068405151365,7.285064697265,4.89321899414,3.68714904785,6.772047678627501
FSM,27.96068318683333,27.70138549803333,27.8727620443,28.195770263666663,28.56478881833333,28.81645711263333,28.73039754233333,28.6069844564,28.469401041666668,28.18076578776667,28.21914672853333,28.356496175133334,28.30625322130278
GAB,24.264432466946158,25.345010610723072,25.626556396476925,25.529496413007696,25.17933772160769,24.46815138596923,24.71563720703077,24.818058894238465,24.708925687353847,24.73317542442308,24.45282451923077,23.768643892723077,24.8008542183109
GBR,3.9306970214844,3.04659057617096,3.9276525878908,6.1298718261712,8.9235522460936,12.762584228508,14.824401855472,14.490035400392,12.512922363272,9.4146008300852,6.471137695312,4.8292175292968,8.438605346679081
GEO,-1.189483642577,-0.928924560547,2.4231392996644283,6.1107875279,11.163129534041428,15.791211809442858,21.48494611467143,22.269919259228573,15.807325090685714,8.570848737450001,3.0943472726027146,0.6557181222104286,8.771080380397798
GGY,4.51974487305,3.78552246094,4.89886474609,7.91510009766,10.7061767578,15.0568847656,17.5250244141,17.6164550781,14.9959411621,10.4936218262,6.96273803711,5.4267578125,9.991902669270834
GHA,26.829775492341664,28.380874633791667,29.17893218993333,28.50048828125,27.175076802575003,26.05392964680833,25.77443949381667,25.093381245941668,25.04112752278333,25.37195841470833,25.89763132730833,26.52143605550833,26.651587592230552
GIB,13.1962280273,13.4583740234,14.1202087402,16.3877563477,19.6794128418,24.760345459,28.1281433105,28.581451416,25.9711608887,21.3168640137,17.1023254395,14.5783996582,19.7733891805
GIN,25.39290826971818,26.902407559490907,27.894090132281818,27.857838023800003,26.507571133709096,25.22918978603636,25.07931518553636,24.644761519,24.83214499734545,24.765067360609088,24.46421397816364,24.7323663885,25.691822861182573
GLP,24.216003418,23.7112426758,23.6420898438,23.9472045898,24.5191040039,25.1535339355,26.3152770996,27.5747070312,28.0469970703,27.7936706543,26.8644104004,25.4253845215,25.600802103674997
GMB,26.0843048096,28.3454437256,30.2536315918,31.59552001955,30.87303161625,28.13432312015,27.06108093265,26.5282897949,26.4945831299,26.36875915525,27.07081604005,26.1279754639,27.91147994996666
GNB,27.10317230225,27.8701248169,28.734619140625,28.89349365235,27.8441467285,26.753150939925,26.683921813975,26.317596435575,26.485954284675003,26.544326782225,26.804756164525,27.078590393075,27.259487787883334
GNQ,24.054244995100003,25.140892028775003,25.4703826904,25.472221374525,25.17516326905,24.314277648925,24.32069396975,24.301803588875003,24.38524627685,24.5083465576,24.250183105475,23.6470565796,24.58670934041042
GRC,8.55236138237722,7.861596001518889,9.662636650934443,12.118264092337776,16.540846082888887,21.36625840928889,25.69652303058889,25.58315022786111,21.20908101399444,15.501259697816108,11.416336059573332,9.628446790901666,15.42806328667347
GRD,24.0771179199,24.0321655273,24.330291748,24.9236755371,25.4973754883,26.0937194824,27.3232116699,28.1047973633,27.7303161621,27.017791748,26.2794494629,24.9789733887,25.86574045815833
GRL,-29.07381878728631,-28.11293444426291,-26.85102927166479,-20.96536818794457,-11.29610783120919,-3.3484757464877664,-0.9621709740681238,-4.694875302522599,-11.912290573119202,-18.23152027959464,-23.36991874031267,-27.79233335411984,-17.217570291049384
GTM,21.9822518485,22.4617614746,24.98697771344285,27.20821271622857,28.416935512014284,28.83476475307143,29.32765415735714,28.71611676897143,27.1947893415,25.0694231306,23.577008928585716,22.4615740095,25.853122529530953
GUF,26.321497599283333,26.2040049235,26.4527130127,26.80992126465,26.29372660318333,25.52687581378333,26.3890431722,28.761047363300005,28.62521870928333,28.75609842933333,28.920628865566663,27.86033121743333,27.24342558118472
GUM,26.2712402344,25.5784912109,25.7493896484,26.397064209,27.2073669434,28.0766296387,28.7508239746,29.0342712402,29.0335388184,28.8968505859,28.3475646973,27.285736084,27.552413940433336
GUY,26.42274475099,26.75005493163,27.284841918940003,27.32355041504,26.040231323240004,24.761459350580004,25.13374328614,29.57016296385,30.918182373040004,30.61652221681,29.75683288575,27.771530151360004,27.695821380614166
HKG,15.6993103027,17.6786804199,20.0331726074,23.1134033203,25.9819335938,27.8005065918,28.1989440918,27.7934570312,25.6571655273,23.6044311523,20.0126647949,15.1879577637,22.56346893309167
HND,24.17719862195556,24.58907063801111,25.80112711588889,26.829789903433337,27.76140679255556,28.17215983072222,28.922617594411108,29.00906372070001,28.231584337011117,26.631757948133338,25.275210910377773,24.489508734822223,26.65754134566852
HRV,3.8963043212904,3.17854309081916,5.345208740235,8.676016235356,12.96245422363,18.10424499511,21.933432006830003,21.46130371094,17.022998046879998,11.019833374030998,7.421133422852999,5.617346191406,11.386568196615046
HTI,25.166183471675,24.85330963135,24.989021301275,25.427536010725003,26.32929992675,27.0118408203,27.98471832275,28.729377746575,28.7964248657,27.92178344725,26.8628387451,25.853416442875,26.660479227693756
HUN,0.3334121704102999,-0.57929611206155,2.32738494873125,6.45220947265875,11.0151977539125,15.91218948365,19.1148223876875,18.3208694458,13.758953094475002,7.91413116455125,4.281234741211249,2.180671691895,8.419315020243438
IDN,26.63619808750382,26.640359660135875,26.951333315316795,27.26067346470764,27.319646471329765,27.026562406819817,26.584047040864125,26.717826086144267,27.15714223148245,27.434205965233595,27.50266248397327,27.089554182447323,27.026684282996566
IMN,3.20785522461,2.3171081543,3.32232666016,5.76132202148,8.7516784668,12.6579284668,14.4847717285,14.2647094727,12.3367614746,9.3723449707,6.0944519043,4.29275512695,8.072001139325
IND,15.965430605732742,18.531562872688184,22.39753898688228,26.39714549917194,28.47167401609168,27.671140957721217,25.90092292718372,25.538874803389117,24.112316300380883,21.694868509746144,18.81260154521585,16.404799604839894,22.658239719086975
IOT,27.7537841797,27.9555358887,28.0648498535,28.2799682617,27.9030761719,26.670135498,25.8078308105,25.7015686035,26.0257263184,26.7785644531,27.2592468262,27.5278930664,27.144014994300004
IRL,5.169525146485,4.410144805906249,5.0752754211425,6.7884864807125,9.374553680421249,12.81480407715,14.8130569458,14.745288848875,12.8581771850375,10.3092041015725,7.5356063842775,6.01659011840875,9.159226099649063
IRN,4.990419981910867,7.551029893220255,12.043229900425896,16.53716240554148,22.72362830990819,28.874772869168865,31.348255595219687,29.926862873018027,25.10160952709345,17.687435462828518,10.25314130939359,6.207230364689558,17.770398207701533
IRQ,5.779455566408701,8.143484497067849,13.3812820434585,17.86503601074,23.534642028805003,29.49567108154,34.09389190673501,33.233361816404994,27.162979125979994,19.191114807125,10.783776855467,6.77188568115465,19.119715118407225
ISL,-6.816047668460667,-6.8354746500675,-6.839721679685834,-3.339136759440583,2.4302139282236506,6.1394093831375,8.5092239379875,7.978919982907501,4.7301279703775,1.4732106526696749,-2.2484868367514497,-6.404449462891417,-0.10185093349951006
ISR,8.974121093739999,10.34313354492,14.03736572264,17.12179565432,21.55997314454,25.29733276366,29.61810913086,29.68321533204,25.70567626956,19.97372436526,13.15039672852,10.21180419922,18.806387329106666
ITA,7.9239054362006,7.380336507159493,8.738406372068201,11.225385538735331,14.801372273758336,19.43098144531333,22.963995361336664,22.65246582031333,19.302739461263336,14.400684611005335,11.274266560870668,9.499609374994934,14.132845730251631
JAM,25.7768859863,25.2901611328,25.36460876465,25.7636260986,26.5008392334,27.19046020505,28.22213745115,28.9774017334,29.00970458985,28.34394836425,27.5946655273,26.6669616699,27.058450063054163
JEY,4.51974487305,3.78552246094,4.89886474609,7.91510009766,10.7061767578,15.0568847656,17.5250244141,17.6164550781,14.9959411621,10.4936218262,6.96273803711,5.4267578125,9.991902669270834
JOR,6.82608032226,8.832079206194285,13.4008745466,17.170667375842857,22.03409685408572,26.37293788365714,30.77204677037143,30.51901681081429,25.6414228167,18.774845668257143,11.011784144811427,7.759647914335714,18.259625026160833
JPN,1.9026814510962864,1.502047890113487,4.421396355878631,9.507320203278825,14.170520983244211,18.505972611276583,21.557247764189476,22.579642847955267,20.203727320618423,14.795166015624474,9.474545127470078,4.81616773103521,11.953036358481747
KAZ,-8.43936712091933,-7.276177524534804,-1.1985945268113,6.5350770556225735,14.123946513026889,20.881159758761488,24.914217105576864,22.80321559433215,14.754089355468434,6.023394371850656,-1.036222599754771,-5.68031550635985,7.20036853968825
KEN,23.87892428311364,25.27882662686364,26.277292424986364,26.38437583228182,24.75919272682727,23.528169111763635,23.094002463604543,23.54804992675,24.359673239968178,24.38430369983182,22.662234219636364,22.32589582963182,24.206745032104923
KGZ,-9.586128234864168,-6.9771550496416666,-1.7200724283860584,3.4956487019861666,10.14377593994,15.331367492667502,19.19747670491667,17.63377126059167,11.687886555986664,4.16105397542285,-3.284016927083,-7.364860534670833,4.393228954738817
KHM,23.04148254394,25.14096069338,27.72042846678,29.58970336913,28.912487792970005,27.46314697266,26.65858154299,26.64635009765,26.163772583009997,24.96849975585,23.522640991210004,21.94110717773,25.980763498941666
KIR,26.3796386719,26.7226867676,26.7914733887,27.0081481934,27.1966247559,26.9546203613,26.1557312012,25.3958435059,25.1906738281,25.2841796875,25.5902099609,25.8278808594,26.208142598483334
KNA,24.1304626465,23.6132507324,23.4222106934,23.6183776855,24.1729125977,24.8467407227,25.9393005371,27.1847229004,27.7518310547,27.564666748,26.6148986816,25.2020263672,25.338450113933334
KOR,-0.0162162780766376,0.1103706359876249,3.8797454833983753,9.2582550048975,14.1695137023875,18.421569824212497,21.0682182311875,21.313087463375,18.275001525887504,13.05689239500625,7.9048652648925,2.3468475341787496,10.815679232277864
KWT,11.5981547038,14.7052408854,20.176666259766662,24.7526550293,30.36576334633333,36.93137613933333,40.8230082194,39.895884195966666,34.47869873046667,26.485361735033337,17.467549641933335,12.679423014333333,25.863315158422225
LAO,16.480609130859335,20.304264322926663,24.43964436849333,27.19157714844,26.738472493486665,25.189646403,24.709307861333333,24.398431396480003,21.96747436524,20.633998616526664,18.352030436200003,15.081030273428668,22.12387390136789
LBN,6.82568359375,7.56826782227,10.7585144043,14.4931640625,19.4426269531,23.5686035156,28.4920959473,28.4153747559,23.8965148926,17.8041687012,10.9154052734,8.21728515625,16.69980875651417
LBR,26.189815521250004,27.101814270012497,27.4967803955125,27.305564880362496,26.6515808105625,26.0544967651375,25.580169677737494,24.743637084975,24.8691329956125,25.294303894050003,25.2286872863875,25.521980285662497,26.00316365560521
LBY,10.597007206512323,12.915778023851791,16.81261280604821,20.18958391462143,24.88807405744287,28.16550227574107,30.642687661298226,30.060167585103567,26.096961975100005,20.34055982316608,14.517795017785712,11.470000130791252,20.558060873121878
LCA,24.14680480955,23.8797454834,23.9747619629,24.38482666015,24.91780090335,25.51611328125,26.80361938475,27.998626709,28.122100830100003,27.5813598633,26.6979827881,25.2578125,25.773462931320832
LIE,-0.180450439453,-0.765533447266,1.20684814453,5.01480102539,8.54489135742,13.2403869629,15.5061645508,14.2850341797,11.3558044434,6.46139526367,3.71252441406,1.67587280273,6.671478271490083
LKA,25.24577026366,25.97400512696,27.42667236328,29.17003173826,29.51950683594,27.62014770508,27.01577758788,27.0067687988,27.15503540038,27.094714355459995,26.54251708986,25.39340820314,27.097029622391663
LSO,17.872520446775,18.05588531495,16.858078002950002,14.672065734875,11.0259704589775,8.70921325684,8.990570068337501,11.8196945190425,14.831809997575,16.149917602525,16.2213745117,17.485801696800003,14.391075134278957
LTU,-2.689379010881514,-5.347429547991429,-1.418544224329,4.285160609655714,9.407278878342856,14.969848632799998,17.984540666842857,16.02437046595714,11.172607421871431,6.11789376395,2.322291782924857,-1.0798121861065717,5.979068937753027
LUX,2.6882019043,1.89736938477,3.68307495117,7.28405761719,10.4988098145,15.4090576172,17.306640625,16.0887451172,13.5535888672,9.01040649414,6.02752685547,4.12228393555,8.964146931974168
LVA,-3.646474202474511,-6.77722167969,-2.8343234592013338,3.4960055881088885,8.69246419270889,14.235833062044447,17.632124159066663,15.440321180555555,10.444112141923334,5.313557942706666,1.479373508029778,-2.279106987847067,5.099722120494277
MAC,15.6993103027,17.6786804199,20.0331726074,23.1134033203,25.9819335938,27.8005065918,28.1989440918,27.7934570312,25.6571655273,23.6044311523,20.0126647949,15.1879577637,22.56346893309167
MAR,11.124986267079,12.596154785155,14.277169799789998,16.891658020030004,20.276036071775,24.920538330065,28.02733764649,28.285023498535004,25.144799804700007,19.89911956787,14.918507385239996,11.9553192138695,19.026387532549876
MCO,5.40875244141,4.84228515625,5.95315551758,8.45346069336,11.6864318848,16.3273620605,19.7034301758,19.3522949219,16.3923034668,11.5946350098,8.94613647461,7.20236206055,11.321884155280001
MDA,-0.4753112792973999,-1.598516845704,2.394946289062,7.075787353518,12.39419555666,17.73212890624,22.13655395508,21.48587646486,15.56294555664,8.48856201171,4.143157958986,1.4863098144524003,9.23555297851725
MDG,25.822135009768,25.895914306635994,25.756058349600004,24.884595947264003,23.012657470699995,21.63555419922,20.925832519544,21.151646728508,22.226134033196,23.954548339832,25.351816406248005,25.713464355468,23.860863138832
